序号,推荐学段,分类,图书名称,作者,故事梗概,intro-video
57,小学 5-6,人文社科,习近平讲故事：少年版,人民日报评论部 著,精选习近平总书记讲述的47则故事，涵盖廉政、品格、励志等主题。针对少年儿童特点，以通俗生动的语言传达深意，帮助孩子建立文化自信，增强民族自豪感。,""
58,小学 5-6,人文社科,马克思画传：马克思诞辰 200 周年纪念版,中共中央马克思恩格斯列宁斯大林著作编译局 编,以图文并茂的形式讲述伟人马克思的一生。从童年时代到伦敦后期，展现了他追求真理、为劳苦大众奋斗的历程。通过生动画面，让孩子直观了解马克思主义的诞生与伟大意义。,""
59,小学 5-6,人文社科,中华人民共和国未成年人保护法,全国人大常委会办公厅 供稿,我国专门保护未成年人合法权益的法律。通过法律条文规定了家庭、学校、社会、网络、政府及司法对未成年人的全方位保护，是守护孩子健康成长的法律盾牌。,""
60,小学 5-6,人文社科,中华人物故事汇.中华先烈人物故事汇,张树军，张海鹏，军事科学院解放军党史军史研究中心编写组 主编/编著 等,系列丛书，收录了邓世昌、李大钊、方志敏等革命先烈的英雄事迹。展现了先烈们信仰坚定、视死如归的浩然正气，引导青少年见贤思齐，传承红色基因。,""
61,小学 5-6,人文社科,我们走在大路上：1949-2019,大型文献专题片《我们走在大路上》创作组 著,大型文献纪录片的同名配套读物。全景式展现了新中国成立以来筚路蓝缕、砥砺奋进的辉煌历程。通过生动的故事表达，礼赞时代成就，增强读者的道路自信与自豪感。,""
62,小学 5-6,人文社科,“抵御外侮——中华英豪传奇”丛书,张海鹏 主编,张海鹏主编。讲述了林则徐、邓世昌、杨靖宇等民族英雄抵御外侮、保家卫国的传奇故事。展现了中华儿女不畏强暴、前赴后继的英勇精神。,""
63,小学 5-6,人文社科,重读先烈诗章,中共中央宣传部宣传教育局 编,收录了1921年至1949年间为革命牺牲的100位先烈的遗诗。这些诗章展现了先烈们对真理的追求、对民族的忠诚以及视死如归的豪情，是跨越时空的爱国主义教育读本。,""
64,小学 5-6,人文社科,梦圆大地：袁隆平传,姚昆仑 著,姚昆仑撰写的传记。详实记录了“杂交水稻之父”袁隆平的奋斗历程。从少年立志到攻克难关，展现了他超人的魄力、执着的科研精神以及为解决人类饥饿问题所作出的卓越贡献。,""
65,小学 5-6,人文社科,思考世界的孩子,[法]阿内-索菲·希拉尔等 著/[法]帕斯卡尔·勒梅特尔 绘,系统梳理了中国传统文化的精髓。涵盖哲学、文学、艺术、民俗等多个方面，以通俗易懂的语言回应当代关切，引导年轻人了解民族根脉，增强文化自信与传承意识。,""
66,小学 5-6,人文社科,写给孩子的哲学启蒙书,[法]拉贝，[法]毕奇 著,著名语言学家许嘉璐的作品。通过考据词汇重现古典中国的生活图景，详细介绍了古代服饰、饮食、宫室和车马等方面的知识。让读者在了解古人生活细节的同时，感受文化基因的传递。,""
67,小学 5-6,文学,声律启蒙,(清)车万育 著,法国资深童书作家与哲学教授联手打造。通过简单有趣的故事探讨梦想与现实、快乐与悲伤等哲学命题。引导孩子打破思维定式，学会独立思考，开启智慧之门。,""
68,小学 5-6,文学,千家诗,(宋)谢枋得，(明)王相 选编,精选世界艺术史上的经典名画，以孩子能听懂的语言讲述画作背后的故事与艺术奥秘。通过名画赏析，培养孩子的审美能力、想象力以及对多元文化的理解。,""
69,小学 5-6,文学,可爱的中国（单行本）,方志敏 著,曲波创作的长篇小说。讲述1946年东北民主联军小分队在少剑波率领下，深入林海雪原剿匪的故事。塑造了杨子荣等智勇双全的英雄形象，展现了革命战士不畏艰险的英雄主义精神。,""
70,小学 5-6,文学,寄小读者,冰心 著,罗广斌、杨益言创作。背景为解放战争时期的重庆，描写了地下党在渣滓洞、白公馆监狱中与国民党反动派展开的英勇斗争。展现了江姐、许云峰等共产党人坚贞不屈、视死如归的红岩精神。,""
71,小学 5-6,文学,大林和小林,张天翼 著,徐光耀创作。讲述抗日战争时期，白洋淀少年张嘎在奶奶牺牲后，机智勇敢地配合八路军打击日本侵略者的故事。展现了嘎子从顽皮少年成长为优秀战士的历程，充满革命英雄主义色彩。,""
72,小学 5-6,文学,呼兰河传,萧红 著,曹文轩创作的纯美小说。以油麻地小学为背景，讲述了男孩桑桑刻骨铭心的六年小学生活。通过细腻的笔触描写了童年生活的纯真、苦难与美好，展现了道义、情感与美的力量。,""
73,小学 5-6,文学,狐狸打猎人,金近 著,董宏猷创作的梦幻体儿童小说。以梦为双翼，全方位透视当代中国儿童的生存状态与心灵世界。从4岁到15岁，一百个孩子的梦境展现了他们的喜怒哀乐与天马行空的想象力。,""
74,小学 5-6,文学,城南旧事,林海音 著,赵丽宏的自传体小说。讲述男孩雪弟从崇明岛到上海生活的成长经历。面对新环境的挑战与伙伴的排挤，雪弟在对河的依恋中逐渐适应城市生活，展现了上世纪五六十年代的都市风情与少年心事。,""
75,小学 5-6,文学,小兵张嘎,徐光耀 著,秦文君的经典校园小说。讲述初中男生贾里和他的“三剑客”伙伴们丰富多彩的校园生活。贾里机智、仗义、充满奇思妙想，演绎了一系列令人捧腹又感动的成长故事。,""
76,小学 5-6,文学,闪闪的红星,李心田 著,秦文君的另一部力作。主角是贾里的孪生妹妹贾梅。她天真活泼、心地善良，渴望成为与众不同的女孩。小说通过贾梅的视角，展现了少女在成长中的梦想、烦恼与纯真友谊。,""
77,小学 5-6,文学,我们的母亲叫中国,苏叔阳 著,彭学军的儿童小说。透过六岁女孩沙吉的视角，讲述了在一个宁静水乡小镇度过的童年时光。故事围绕着老屋的“腰门”展开，窥见了成人世界的悲欢离合与一代人的成长印记。,""
78,小学 5-6,文学,美丽的西沙群岛,刘先平 著,格日勒其木格·黑鹤的动物小说。以粗犷而细腻的笔触，勾勒出草原与森林中人与动物的生死命运。展现了猛犬、猎鹰等生灵的野性之美与作者对自然的敬畏之心。,""
79,小学 5-6,文学,非法智慧,张之路 著,史雷创作的京味儿童小说。以抗战时期北平为背景，通过男孩大宝的视角，描绘了将军胡同里不同阶层家庭的命运。塑造了没落八旗子弟图将军等鲜活人物，展现了国难当头的民族气节。,""
80,小学 5-6,文学,一百个孩子的中国梦,董宏猷 著,肖复兴的儿童小说。通过孩子的视角，讲述了北京大院里几代人的生活变迁与温情故事。作品充满了怀旧气息，展现了特殊年代里人与人之间的淳朴情感与生活智慧。,""
81,小学 5-6,文学,童年河,赵丽宏 著,曾小春的儿童小说。讲述了抗战时期，一个名叫“锯子”的小八路在艰苦环境中机智勇敢、成长战斗的故事。展现了革命战争年代少年儿童的坚韧与乐观精神。,""
82,小学 5-6,文学,草房子,曹文轩 著,殷健灵的长篇小说。讲述了清末民初，孤儿幼安在教会孤儿院“野芒坡”的成长经历。他历经磨难，在艺术中找到慰藉与力量，最终成长为一名出色的画师，展现了人性的坚韧与光辉。,""
83,小学 5-6,文学,男生贾里全传,秦文君 著,丹麦作家安徒生的经典作品集。包含《海的女儿》《卖火柴的小女孩》《丑小鸭》等名篇。作品充满了奇幻色彩与人文关怀，通过动人的故事探讨爱、牺牲、勇气与人性的真善美，是全世界儿童的必读经典。,""
84,小学 5-6,文学,今天我是升旗手,黄蓓佳 著,德国格林兄弟收集整理的民间故事集。收录了《白雪公主》《灰姑娘》《小红帽》等家喻户晓的故事。这些故事以朴实的语言展现了善恶斗争与奇幻冒险，蕴含着丰富的民间智慧与道德启示。,""
85,小学 5-6,文学,芝麻开门,祁智 著,著名的阿拉伯民间故事集。相传宰相之女山鲁佐德为拯救无辜少女，每夜为国王讲故事，连讲了一千零一夜。包含《阿拉丁神灯》《阿里巴巴和四十大盗》等，展现了古代东方瑰丽的想象力与生活图景。,""
86,小学 5-6,文学,你是我的妹,彭学军 著,古希腊文明的瑰宝。讲述了众神之王宙斯、智慧女神雅典娜等奥林匹斯众神以及赫拉克勒斯等英雄的传奇。通过宏大的叙事反映了古希腊人对宇宙起源、自然现象及人性的深刻思考。,""
87,小学 5-6,文学,黑焰,格日勒其木格·黑鹤 著,古希腊寓言集。通过拟人化的动物故事，如《龟兔赛跑》《狼来了》《农夫与蛇》等，传达深刻的人生哲理与处世智慧。篇幅短小精悍，寓意深刻，是启迪儿童智慧的经典读本。,""
88,小学 5-6,文学,安徒生童话,[丹麦]安徒生 著/叶君健 译,俄国杰出寓言家克雷洛夫的作品。继承并发展了伊索寓言的传统，结合俄国社会现实，创作了《天鹅、大虾和梭鱼》等名篇。语言幽默辛辣，具有强烈的现实意义与教育价值。,""
89,小学 5-6,文学,汤姆·索亚历险记,[美]马克·吐温 著/张友松 译,英国作家丹尼尔·笛福的长篇小说。讲述主人公鲁滨逊在海难中幸存，流落荒岛28年的故事。他凭着坚强的意志与卓越的生存技能，在荒岛上开荒布产、救下“星期五”，最终重返文明世界，歌颂了人类的进取精神。,""
90,小学 5-6,文学,假如给我三天光明,[美]海伦·凯勒 著/李汉昭 译,英国作家斯威夫特的讽刺小说。通过外科医生格列佛在小人国、大人国、飞岛国及慧骃国的奇遇，辛辣地讽刺了当时英国社会的腐败与人性的丑陋。作品想象力奇特，具有深刻的社会批判意义。,""
91,小学 5-6,文学,小王子,[法]圣·埃克苏佩里 著/柳鸣九 译,美国作家马克·吐温的代表作。讲述顽皮少年汤姆·索亚与伙伴哈克贝利·费恩的冒险故事。他们粉刷围墙、寻找宝藏、目睹谋杀并最终成为英雄。作品歌颂了少年儿童自由纯真的心灵，批判了虚伪的社会习俗。,https://cf.s3.soulter.top/whznjs/%E5%B0%8F%E7%8E%8B%E5%AD%90.mp4
92,小学 5-6,文学,永远讲不完的故事,[德]米切尔·恩德 著/李士勋 译,英国作家史蒂文森的冒险小说。讲述少年吉姆意外获得海盗藏宝图，随船前往荒岛寻宝的传奇经历。他在寻宝过程中与狡诈的海盗斗智斗勇，展现了非凡的勇气与机智。作品情节紧凑，是海盗题材的巅峰之作。,""
93,小学 5-6,文学,哈利波特与魔法石,[英]J.K.罗琳 著/苏农 译,英国作家吉卜林的代表作。讲述了被狼群抚养长大的“狼孩”莫格里在印度丛林中的冒险经历。通过莫格里与老虎谢尔可汗的斗争以及与黑豹、棕熊的友谊，展现了自然的法则与生命的尊严。,""
94,小学 5-6,自然科学,国家版图知识读本,《国家版图知识读本》编撰委员会 编著,英国作家刘易斯·卡罗尔的荒诞幻想小说。讲述小姑娘爱丽丝追随一只穿背心的兔子掉进树洞，进入了一个充满会说话的动物和扑克牌士兵的梦幻世界。作品以奇特的想象力和逻辑游戏著称。,""
95,小学 5-6,自然科学,大国重器：图说当代中国重大科技成果,贲德 主编,瑞典女作家拉格洛夫的诺贝尔奖作品。讲述调皮男孩尼尔斯被变成小人后，骑着雄鹅莫顿随大雁群周游瑞典的冒险历程。他在旅途中改正了缺点，学会了爱与责任，同时也展现了瑞典的地理风貌。,""
96,小学 5-6,自然科学,中国历史上的科学发明：插图本,钱伟长 著,比利时剧作家梅特林克的象征主义童话剧。讲述樵夫的孩子迪迪和麦迪在圣诞夜受仙女委托，寻找象征幸福的青鸟。他们历经怀念之国、夜之宫等奇幻之地，最终发现幸福就在自己身边。,""
97,小学 5-6,自然科学,中国儿童地图百科全书.世界遗产,《世界遗产》编委会 编著,法国作家圣埃克苏佩里的哲理童话。讲述飞行员在撒哈拉沙漠偶遇来自B612小行星的小王子。通过小王子的旅行见闻，探讨了爱、责任、孤独与生命的本质，提醒人们不要丢失童心。,""
98,小学 5-6,自然科学,小学生食品安全知识读本,刘烈刚，杨雪锋 主编,美国作家怀特的经典童话。讲述小猪威尔伯与蜘蛛夏洛之间真挚的友谊。为了拯救威尔伯免于被宰杀的命运，夏洛在网上织出“王牌猪”等文字创造奇迹。作品展现了生命的忠诚与牺牲。,""
99,小学 5-6,自然科学,海错图笔记,张辰亮 著,日本作家黑柳彻子的自传体作品。讲述了因淘气被退学的小豆豆在“巴学园”的成长故事。在小林校长的爱护与引导下，这个“怪孩子”逐渐成长为自信、善良的人。作品倡导尊重天性的教育理念。,""
100,小学 5-6,自然科学,每月之星,陶宏 著,英国作家J.K.罗琳的奇幻巨著开篇。讲述孤儿哈利·波特在11岁生日时得知自己的巫师身份，进入霍格沃茨魔法学校学习。他结识了好友罗恩与赫敏，并开始了对抗黑巫师伏地魔的传奇旅程。,""
101,小学 5-6,自然科学,寂静的春天,[美]蕾切尔·卡森 著,英国作家玛丽·诺顿的幻想小说。讲述生活在地板下的微型人一家，他们靠“借”人类的物品为生。通过小人阿丽埃蒂与人类男孩的友谊，展现了两个截然不同世界之间的碰撞与温情。,""
102,小学 5-6,自然科学,空间简史,[意]托马斯·马卡卡罗，[意]克劳迪奥·M.达达里 著,英国作家迈克尔·莫波格的小说。以一匹名叫乔伊的农场马视角，讲述了它在一战战场上的传奇经历以及与主人艾伯特之间跨越战火的深厚友谊。作品深刻反思了战争的残酷与人性的光辉。,""
103,小学 5-6,自然科学,BBC 科普三部曲,[英]伊恩·斯图尔特，[英]约翰·林奇，[英]保尔·罗斯等 著,高春香、邵敏创作的科普绘本。通过小女孩牙牙在乡下爷爷奶奶家的生活，生动展示了二十四节气的更迭与农事民俗。作品将传统文化融入日常生活，引导孩子观察自然，感受时令之美。,""
104,小学 5-6,自然科学,昆虫记,[法]让-亨利·法布尔 著,德国汉学家雷德侯的艺术史名著。提出中国艺术（如汉字、兵马俑、瓷器）具有独特的“模件化”生产体系。通过这种体系，中国艺术在实现大规模生产的同时，依然保持了丰富的多样性与创造力。,""
105,小学 5-6,艺术,启功给你讲书法,启功 著,建筑大师梁思成的经典著作。系统梳理了中国古代建筑的发展脉络，从先秦到清代，详细分析了各时期的建筑特征与技术成就。作品不仅是学术瑰宝，更展现了作者对民族文化遗产的深情守护。,""
106,小学 5-6,艺术,京剧常识手册,涂沛，苏移等 著,罗一平主编的艺术启蒙丛书。采用“艺术家生平+艺术故事”的叙事结构，涵盖书法、绘画等多个门类。通过生动的语言和互动游戏，引导孩子领略中国艺术的博大精深，培养审美情趣。,""
107,小学 5-6,艺术,中国戏曲：连环画（推荐：窦娥冤，桃花扇，白蛇传，卖油郎，打面缸，梁山伯与祝英台，玉堂春，宇宙锋，钗头凤，牡丹亭，寇准背靴，望江亭，穆桂英，十五贯）,(明)汤显祖等 原著/良士等 改编/赵宏本等 绘画,瓦特·艾萨克森等编著的音乐普及读物。讲述了从古典到现代，音乐史上伟大作曲家的生平与创作轶事。通过故事展现了音乐风格的演变以及音乐如何跨越国界、影响人类的情感与文明。,""
108,小学 5-6,艺术,戏曲进校园,郑传寅，黄蓓 编著,尼尔·麦格雷戈编著。从大英博物馆800万件馆藏中精选100件文物，如罗塞塔石碑、刘易斯棋子等，以此串联起人类200万年的文明史。通过文物背后的故事，展现了全球文明的交融与演进。,""
109,小学 5-6,艺术,中国民歌欣赏,周青青 著,尤瓦尔·赫拉利的全球畅销书。将人类历史分为认知革命、农业革命、人类的融合统一与科学革命四个阶段。通过宏大的视角探讨了智人如何从普通动物跃升为地球主宰，引发对人类未来的深刻思考。,""
110,小学 5-6,艺术,建筑艺术的语言,刘先觉 著,科普读物。通过讲述爱迪生、居里夫人等伟大科学家的奋斗历程与重大发现，展现了科学探索的艰辛与乐趣。作品旨在激发青少年的好奇心与求知欲，引导他们了解科学精神与人类智慧的进步。,""
